wmask fmask
4682.342495000001 0.379
4682.560123 0.274
4683.561837 0.566
4685.267626 0.533
4616.1281930000005 0.781
4617.271313 0.609
4618.786642 0.71
4620.517201000001 0.498
4621.927857 0.432
4623.094918 0.561
4625.04789 0.747
4626.176816 0.766
4626.536174000001 0.27
4627.379965 0.178
4627.5336640000005 0.18
4628.163745 0.216
4629.3411670000005 0.745
4630.122936 0.715
4630.777193 0.057
4631.037104999999 0.093
4631.484906 0.146
4632.139001 0.18
4632.903706 0.772
4634.07711 0.538
4635.315985 0.182
4635.8471389999995 0.584
4636.326574 0.215
4637.507469 0.725
4637.762828999999 0.243
4638.0112850000005 0.696
4638.524901 0.127
4639.367276999999 0.47
4639.502861 0.187
4639.94282 0.419
4643.46736 0.679
4645.188598000001 0.278
4646.16697 0.865
4646.780112 0.261
4647.436734 0.751
4578.5547750000005 0.728
4579.823117 0.251
4580.05656 0.727
4580.584092 0.447
4581.4204979999995 0.818
4582.832938 0.548
4583.411747 0.356
4583.830249 0.79
4583.954091 0.23
4584.737518 0.473
4585.879883 0.792
4586.3674869999995 0.471
4587.130685 0.567
4587.7184720000005 0.175
4588.200247 0.628
4588.394269 0.03
4589.950159 0.738
4591.399761000001 0.693
4592.052396 0.465
4592.641874999999 0.812
4593.528022 0.31
4593.915548 0.166
4594.117292 0.527
4594.635079 0.122
4595.238073 0.156
4595.3623210000005 0.618
4596.050261 0.612
4596.4089220000005 0.347
4596.907797 0.162
4598.119717 0.703
4598.744836 0.194
4600.106180000001 0.386
4600.35874 0.566
4600.7531930000005 0.8
4600.958798 0.386
4601.3610850000005 0.119
4602.003832 0.719
4602.946752 0.87
4603.342428 0.214
4603.9427510000005 0.213
4604.98984 0.688
4605.371956 0.236
4606.216018 0.46
4607.331654 0.5
4607.648064999999 0.753
4609.271372 0.148
4609.911852 0.261
4541.517877 0.642
4541.937135 0.137
4542.426998 0.53
4544.667211 0.748
4545.954392 0.796
4546.998831999999 0.65
4547.2286220000005 0.444
4547.84976 0.756
4548.76792 0.761
4549.621626 0.857
4551.232986999999 0.283
4551.651741 0.346
4552.474021 0.784
4553.164862 0.19
4554.0338360000005 0.954
4554.456908 0.387
4554.827349 0.12
4554.998283000001 0.472
4555.488259 0.68
4556.1305680000005 0.794
4556.929153 0.29
4558.648414 0.683
4559.928586 0.25
4560.088965 0.532
4560.272773 0.161
4560.715215 0.122
4561.415873 0.365
4562.36203 0.272
4562.633397 0.155
4563.763425 0.858
4564.589132 0.241
4565.335542 0.364
4565.516976 0.6
4565.65809 0.563
4566.519526 0.485
4566.968677 0.228
4568.32758 0.333
4568.612335 0.164
4568.781932 0.52
4569.610629000001 0.335
4571.096314 0.857
4571.435141 0.242
4571.676705 0.455
4571.977387 0.894
4572.273047000001 0.191
4572.860805 0.185
4505.917941 0.034
4506.759269 0.139
4508.285038 0.729
4509.280488 0.181
4510.827771 0.147
4511.075429 0.098
4511.892494 0.447
4512.271643 0.28
4512.736634 0.721
4513.712778 0.124
4515.342613000001 0.689
4516.278083 0.158
4517.531808 0.685
4518.028007999999 0.764
4521.32449 0.019
4522.04113 0.045
4522.625016 0.748
4523.401512 0.46
4523.719647 0.047
4523.925214 0.119
4525.141479 0.786
4526.100228 0.217
4526.43779 0.74
4526.92518 0.732
4527.321229 0.735
4527.44306 0.29
4527.784224 0.354
4530.952502 0.628
4531.62485 0.641
4533.244031 0.895
4533.966294 0.888
4534.778513 0.865
4535.1354630000005 0.377
4536.487675 0.141
4470.482623 0.687
4470.851377 0.682
4471.2440719999995 0.482
4473.788829 0.094
4474.783706 0.216
4476.048887999999 0.926
4478.021249 0.245
4479.617772 0.643
4480.142068 0.629
4480.588316 0.411
4481.281948 0.614
4481.613455000001 0.591
4482.1959 0.928
4482.737246 0.678
4482.863052 0.261
4483.78403 0.204
4484.219773000001 0.801
4485.680503 0.734
4486.923755 0.21
4487.479843 0.076
4488.121984 0.55
4489.7433280000005 0.837
4490.084617 0.797
4490.208122 0.085
4490.54614 0.261
4490.781005 0.682
4491.405293 0.697
4491.657684 0.277
4491.849673000001 0.144
4492.306208 0.284
4492.678205 0.412
4493.379188 0.106
4493.5256150000005 0.397
4494.040613 0.403
4494.566223 0.879
4495.275681 0.113
4495.414897000001 0.265
4495.571771 0.337
4495.955474 0.557
4496.158485 0.481
4496.8575519999995 0.825
4497.670453000001 0.261
4498.561629 0.065
4498.728559 0.302
4498.894841 0.567
4500.301999 0.342
4435.678882 0.892
4436.944772 0.709
4437.567453 0.356
4437.832759 0.382
4438.341342 0.548
4439.887408 0.571
4440.475003 0.449
4440.82024 0.468
4441.004391 0.279
4441.272341 0.122
4441.551049 0.2
4441.715502999999 0.639
4442.349131 0.86
4442.836158 0.662
4443.1990000000005 0.832
4443.806987 0.87
4444.216958 0.399
4444.5604299999995 0.641
4445.472186 0.49
4446.392345 0.173
4447.728792 0.882
4449.145372000001 0.638
4449.943836 0.047
4450.893939 0.58
4451.587016 0.786
4452.0020079999995 0.257
4452.616203 0.296
4453.0020970000005 0.591
4453.318163 0.653
4453.704947 0.498
4455.312908 0.754
4455.875775 0.897
4456.3355090000005 0.588
4456.618461 0.687
4457.041723 0.5
4457.522645 0.688
4458.081596 0.657
4458.251741 0.685
4458.527651 0.465
4459.097202999999 0.898
4459.7521560000005 0.559
4460.299349 0.611
4460.776655 0.153
4461.092014 0.625
4461.395115 0.443
4461.65823 0.939
4461.9997189999995 0.846
4462.1970519999995 0.324
4462.448159 0.688
4462.7171 0.164
4462.979662 0.192
4463.134205 0.26
4463.40549 0.447
4463.525874999999 0.197
4464.449664 0.768
4464.693324 0.767
4464.905191 0.17
4465.132544 0.212
4465.350367999999 0.271
4401.292444 0.712
4401.534416 0.815
4403.176739 0.544
